date,home_team,away_team,home_goals,away_goals,home_form_points_avg,home_form_goals_scored_avg,home_form_goals_conceded_avg,away_form_points_avg,away_form_goals_scored_avg,away_form_goals_conceded_avg,home_returning_from_break,away_returning_from_break,home_days_since_last_match,away_days_since_last_match,h2h_matches_found,h2h_home_win_rate,dc_home_win,dc_draw,dc_away_win,dc_over_2_5,dc_under_2_5
2019-09-11,Monaco,Dijon,1,0,1.2,1.2,1.6,1.75,1.25,1.0,0,0,3.0,30.0,0,,,,,,
2019-09-11,Reims,Angers,0,0,2.25,1.5,0.75,0.75,0.5,2.0,0,0,30.0,61.0,0,,,,,,
2019-09-11,Brest,Paris SG,1,2,1.5,1.75,0.5,2.25,2.5,0.75,1,0,90.0,61.0,0,,,,,,
2019-09-11,Strasbourg,Nimes,4,1,0.8,1.2,2.2,0.3333333333333333,0.6666666666666666,4.0,0,1,61.0,90.0,0,,,,,,
2019-10-08,Nice,Amiens,2,1,1.4,1.6,1.4,2.0,1.3333333333333333,1.3333333333333333,0,0,58.0,88.0,0,,,,,,
2019-10-08,Montpellier,Rennes,0,1,1.25,2.0,2.0,1.8,1.2,1.0,0,0,88.0,88.0,0,,,,,,
2019-10-08,Dijon,St Etienne,1,2,1.4,1.0,1.0,1.8,1.6,1.2,0,0,27.0,57.0,0,,,,,,
2019-10-08,Brest,Toulouse,1,1,1.2,1.6,0.8,0.0,1.4,2.8,0,0,27.0,88.0,0,,,,,,
2019-10-08,Angers,Bordeaux,3,1,0.8,0.4,1.6,2.0,2.6,1.0,0,0,27.0,57.0,0,,,,,,
2019-10-08,Marseille,Reims,0,2,2.4,1.8,1.0,2.0,1.2,0.6,0,0,57.0,27.0,0,,,,,,
2019-10-11,Rennes,Amiens,3,1,2.4,1.2,0.6,1.5,1.25,1.5,0,0,3.0,3.0,0,,,,,,
2019-10-11,Nantes,St Etienne,2,3,1.8,0.8,1.0,2.4,1.8,1.0,0,0,60.0,3.0,0,,,,,,
2019-10-11,Montpellier,Toulouse,3,0,1.0,1.6,1.8,0.2,1.4,2.6,0,0,3.0,3.0,0,,,,,,
2019-10-11,Marseille,Lyon,2,1,1.8,1.6,1.4,1.8,2.0,0.8,0,0,3.0,33.0,0,,,,,,
2019-11-08,Paris SG,Nimes,3,0,2.4,2.4,0.8,0.25,0.75,4.0,0,0,58.0,58.0,0,,,,,,
2019-11-08,Strasbourg,Metz,1,1,1.2,1.6,2.0,0.4,0.6,1.8,0,0,58.0,58.0,0,,,,,,
2019-11-08,Lille,Nantes,2,1,1.6,1.0,0.8,1.2,0.8,1.4,0,0,58.0,28.0,0,,,,,,
2020-01-02,Angers,Reims,1,4,0.8,0.8,1.8,2.0,1.2,0.6,0,0,86.0,86.0,1,0.5,,,,,
2020-01-02,Amiens,Toulouse,0,0,1.2,1.2,1.8,0.2,1.0,2.6,0,0,83.0,83.0,0,,,,,,
2020-01-02,Paris SG,Montpellier,5,0,3.0,2.8,0.4,1.4,1.8,1.4,0,0,55.0,83.0,1,1.0,,,,,
2020-01-02,Strasbourg,Lille,1,2,1.4,1.8,2.0,2.2,1.2,0.6,0,0,55.0,55.0,0,,,,,,
2020-01-02,Nimes,Monaco,3,1,0.2,0.6,3.8,1.8,1.4,1.4,0,1,55.0,90.0,0,,,,,,
2020-01-02,Dijon,Brest,3,0,0.8,0.8,1.2,1.4,1.8,0.8,0,0,86.0,86.0,0,,,,,,
2020-01-03,Lyon,St Etienne,2,0,1.2,1.6,0.8,2.4,2.2,1.4,0,0,84.0,84.0,1,0.0,,,,,
2020-01-03,Bordeaux,Nice,1,1,1.4,2.4,1.6,1.4,1.6,1.6,0,0,87.0,87.0,1,0.5,,,,,
2020-01-03,Nantes,Lille,0,1,1.2,1.0,1.4,2.2,1.4,0.8,0,0,56.0,1.0,1,0.0,,,,,
2020-01-11,St Etienne,Montpellier,0,1,1.8,1.4,1.6,1.2,1.4,2.0,0,0,8.0,9.0,0,,,,,,
2020-01-11,Nimes,Metz,0,1,0.8,1.2,2.8,0.4,0.4,1.6,0,0,9.0,64.0,0,,,,,,
2020-01-11,Reims,Strasbourg,2,1,2.6,2.0,0.4,1.4,2.0,1.4,0,0,9.0,9.0,0,,,,,,
2020-01-11,Monaco,Bordeaux,4,0,1.2,1.2,1.8,1.0,1.4,1.8,0,0,9.0,8.0,0,,,,,,
2020-01-11,Dijon,Lorient,0,0,1.2,1.0,0.8,,,,0,0,9.0,,0,,,,,,
2020-01-11,Angers,Nice,0,3,0.8,1.0,2.2,1.6,1.6,1.0,0,0,9.0,8.0,0,,,,,,
2020-01-11,Lille,Lyon,1,1,2.6,1.2,0.4,1.8,2.0,0.6,0,0,8.0,8.0,1,1.0,,,,,
2020-02-02,Nice,Lyon,2,1,2.2,2.2,0.8,2.0,2.2,0.6,0,0,22.0,22.0,0,,,,,,
2020-02-02,Metz,St Etienne,3,1,1.0,0.6,1.4,1.2,1.2,1.8,0,0,22.0,22.0,0,,,,,,
2020-02-02,Bordeaux,Marseille,0,0,0.4,0.8,2.4,1.8,1.6,1.4,0,1,22.0,90.0,1,0.0,,,,,
2020-02-10,Paris SG,Angers,6,1,3.0,3.4,0.4,0.8,1.0,2.0,0,0,39.0,30.0,1,1.0,,,,,
2020-03-10,Nice,Nantes,2,1,2.2,1.8,0.8,1.2,1.0,1.2,0,0,37.0,67.0,1,0.0,,,,,
2020-03-10,Lens,St Etienne,2,0,,,,1.2,1.2,1.8,0,0,,37.0,0,,,,,,
2020-04-02,Nantes,Paris SG,1,2,0.6,1.0,1.6,3.0,3.8,0.6,0,0,23.0,52.0,1,0.0,,,,,
2020-04-02,Lille,Rennes,1,0,2.2,1.2,0.6,2.4,1.4,0.6,0,1,82.0,90.0,0,,,,,,
2020-04-02,Monaco,Angers,1,0,1.8,1.8,1.2,0.8,1.0,2.8,0,0,82.0,52.0,0,,,,,,
2020-04-10,Bordeaux,Dijon,3,0,0.4,0.6,2.2,0.8,0.8,0.8,0,0,68.0,90.0,0,,,,,,
2020-04-10,Lyon,Marseille,1,1,1.4,1.6,1.0,1.4,1.2,1.4,0,0,68.0,68.0,1,0.0,,,,,
2020-04-10,Rennes,Reims,2,2,1.8,1.2,0.8,2.6,2.2,0.6,0,0,8.0,90.0,1,0.0,,,,,
2020-04-10,Strasbourg,Lille,0,3,1.4,2.2,1.6,2.6,1.4,0.6,0,0,90.0,8.0,1,0.0,,,,,
2020-04-10,Metz,Lorient,3,1,1.6,1.2,1.2,1.0,0.0,0.0,0,0,68.0,90.0,0,,,,,,
2020-04-10,Brest,Monaco,1,0,0.8,0.8,1.4,1.8,1.4,1.2,1,0,90.0,8.0,0,,,,,,
2020-04-10,Montpellier,Nimes,0,1,1.2,1.0,1.8,0.6,0.8,2.6,0,0,90.0,90.0,0,,,,,,
2020-04-12,Nimes,Marseille,0,2,1.2,1.0,1.8,1.6,1.2,1.0,0,0,2.0,2.0,0,,,,,,
2020-05-02,Brest,Bordeaux,1,1,0.8,0.6,1.4,1.0,1.0,1.6,0,0,22.0,22.0,0,,,,,,
2020-05-02,Montpellier,Metz,1,1,1.2,0.8,1.4,2.2,1.6,0.6,0,0,22.0,22.0,1,0.5,,,,,
