date,home_team,away_team,home_goals,away_goals
2020-11-09,Bordeaux,Lyon,0,0
2020-11-12,St Etienne,Angers,0,0
2020-12-01,St Etienne,Nantes,0,2
2020-12-01,Dijon,Lille,1,0
2020-12-01,Paris SG,Monaco,3,3
2020-12-09,St Etienne,Strasbourg,2,0
2020-12-09,Montpellier,Nice,3,1
2020-12-12,Marseille,Monaco,2,1
2020-12-12,Lens,Montpellier,2,3
2021-01-05,Paris SG,Lens,2,1
2021-01-05,Lille,Nice,2,0
2021-01-10,Lens,Reims,2,0
2021-01-12,Nantes,Marseille,0,1
2021-01-12,Lyon,Reims,1,2
2021-01-12,Paris SG,Nice,0,0
2021-01-12,Rennes,Lille,1,2
2021-01-12,Clermont,Lens,2,2
2021-01-12,Troyes,Lorient,2,0
2021-01-12,Strasbourg,Bordeaux,5,2
2021-01-12,Metz,Montpellier,1,3
2021-01-12,Brest,St Etienne,1,0
2021-01-12,Angers,Monaco,1,3
2021-02-05,Brest,Nantes,1,4
2021-02-05,Dijon,Metz,1,5
2021-02-05,Lorient,Angers,2,0
2021-02-05,Bordeaux,Rennes,1,0
2021-02-05,Montpellier,St Etienne,1,2
2021-02-05,Nimes,Reims,2,2
2021-02-05,Monaco,Lyon,2,3
2021-02-10,Nice,Brest,2,1
2021-02-10,Montpellier,Strasbourg,1,1
2021-03-02,St Etienne,Nantes,1,1
2021-03-02,Paris SG,Nimes,3,0
2021-03-02,Monaco,Nice,2,1
2021-03-02,Lens,Marseille,2,2
2021-03-02,Strasbourg,Brest,2,2
2021-03-02,Rennes,Lorient,1,1
2021-03-02,Reims,Angers,0,0
2021-03-02,Metz,Montpellier,1,1
2021-03-02,Bordeaux,Lille,0,3
2021-03-02,Dijon,Lyon,0,1
2021-03-03,Nantes,Reims,1,2
2021-03-03,Brest,Dijon,3,1
2021-03-03,Lyon,Rennes,1,0
2021-03-03,Metz,Angers,0,1
2021-03-03,Strasbourg,Monaco,1,0
2021-03-03,Montpellier,Lorient,1,1
2021-03-03,Bordeaux,Paris SG,0,1
