date,home_team,away_team,home_goals,away_goals
2024-03-11,Toulouse,Reims,1,0
2024-03-11,Auxerre,Rennes,4,0
2024-03-11,Le Havre,Montpellier,1,0
2024-03-11,Nantes,Marseille,1,2
2024-04-02,Lille,Clermont,4,0
2024-04-02,Metz,Lorient,1,2
2024-04-02,Brest,Nice,0,0
2024-04-02,Monaco,Le Havre,1,1
2024-04-02,Lyon,Marseille,1,0
2024-04-02,Reims,Toulouse,2,3
2024-04-05,Brest,Nantes,0,0
2024-04-05,Monaco,Clermont,4,1
2024-04-05,Le Havre,Strasbourg,3,1
2024-04-05,Metz,Rennes,2,3
2024-04-10,Marseille,Angers,1,1
2024-05-04,Lille,Marseille,3,1
2024-05-10,St Etienne,Auxerre,3,1
2024-05-10,Lille,Toulouse,2,1
2024-05-10,Rennes,Monaco,1,2
2024-06-04,Lens,Le Havre,1,1
2024-06-04,Paris SG,Clermont,1,1
2024-06-05,Lille,Lyon,3,4
2024-06-10,Lyon,Nantes,2,0
2024-06-10,Brest,Le Havre,2,0
2024-06-10,Strasbourg,Lens,2,2
2024-06-10,Reims,Montpellier,4,2
2024-06-10,Nice,Paris SG,1,1
2024-06-12,Auxerre,Paris SG,0,0
2024-06-12,Lille,Brest,3,1
2024-07-04,Reims,Nice,0,0
2024-07-04,Brest,Metz,4,3
2024-07-04,Montpellier,Lorient,2,0
2024-07-04,Nantes,Lyon,1,3
2024-07-04,Monaco,Rennes,1,0
2024-07-04,Toulouse,Strasbourg,0,0
2024-07-12,Angers,Lyon,0,3
2024-07-12,Nice,Le Havre,2,1
2024-07-12,Monaco,Toulouse,2,0
2024-08-03,Nice,Montpellier,1,2
2024-08-11,Marseille,Auxerre,1,3
2024-08-12,Strasbourg,Reims,0,0
2024-08-12,Lens,Montpellier,2,0
2024-08-12,Nantes,Rennes,1,0
2024-08-12,St Etienne,Marseille,0,2
2024-09-02,Marseille,Metz,1,1
2024-09-03,Lorient,Lyon,0,2
2024-09-03,Lens,Brest,1,0
2024-09-11,Strasbourg,Monaco,1,3
2024-09-11,Lens,Nantes,3,2
2024-09-11,Angers,Paris SG,2,4
2024-10-02,Lens,Strasbourg,3,1
2024-10-02,Paris SG,Lille,3,1
2024-10-03,Lille,Rennes,2,2
2024-10-03,Paris SG,Reims,2,2
2024-10-03,Le Havre,Toulouse,1,0
2024-10-03,Metz,Clermont,1,0
2024-10-03,Strasbourg,Monaco,0,1
2024-10-03,Marseille,Nantes,2,0
2024-10-05,Nice,Le Havre,1,0
2024-10-05,Brest,Reims,1,1
2024-10-11,Lyon,St Etienne,1,0
2024-10-11,Nice,Lille,2,2
2024-10-11,Le Havre,Reims,0,3
2024-10-11,Montpellier,Brest,3,1
2024-10-11,Rennes,Toulouse,0,2
2024-11-02,Lorient,Reims,2,0
2024-11-02,Clermont,Brest,1,1
2024-11-02,Le Havre,Rennes,0,1
2024-11-02,Toulouse,Nantes,1,2
2024-11-02,Montpellier,Lyon,1,2
2024-11-02,Nice,Monaco,2,3
2024-12-01,Marseille,Strasbourg,1,1
2024-12-04,Metz,Lens,2,1
2024-12-05,Strasbourg,Metz,2,1
2024-12-05,Rennes,Lens,1,1
2024-12-05,Paris SG,Toulouse,1,3
2024-12-05,Nantes,Lille,1,2
2024-12-05,Montpellier,Monaco,0,2
2024-12-05,Marseille,Lorient,3,1
2024-12-05,Clermont,Lyon,0,1
2025-01-02,Lille,St Etienne,4,1
2025-01-02,Brest,Paris SG,2,5
2025-01-02,Monaco,Auxerre,4,2
2025-01-03,St Etienne,Nice,1,3
2025-01-03,Lens,Le Havre,3,4
2025-01-03,Paris SG,Lille,4,1
2025-02-02,Angers,Le Havre,1,1
2025-02-02,Reims,Nantes,1,2
2025-02-02,Rennes,Strasbourg,1,0
2025-02-02,Marseille,Lyon,3,2
2025-02-02,Toulouse,Nice,1,1
2025-02-03,Angers,Toulouse,0,4
2025-02-03,Auxerre,Strasbourg,0,1
2025-02-03,Marseille,Nantes,2,0
2025-02-03,Lyon,Brest,2,1
2025-02-03,Montpellier,Rennes,0,4
2025-02-05,Nice,Reims,1,0
2025-03-01,Nice,Rennes,3,2
2025-03-05,St Etienne,Monaco,1,3
2025-03-05,Strasbourg,Paris SG,2,1
2025-03-05,Toulouse,Rennes,2,1
2025-04-01,Lyon,Montpellier,1,0
2025-04-01,St Etienne,Reims,3,1
2025-04-01,Lille,Nantes,1,1
2025-04-04,Nice,Nantes,1,2
2025-04-05,Brest,Montpellier,1,0
2025-04-05,Lyon,Lens,1,2
2025-04-05,Lille,Marseille,1,1
2025-04-05,Auxerre,Le Havre,1,2
2025-04-05,Nantes,Angers,0,1
2025-05-01,Strasbourg,Auxerre,3,1
2025-05-01,Angers,Brest,2,0
2025-05-01,Lens,Toulouse,0,1
2025-05-01,Marseille,Le Havre,5,1
2025-05-04,Brest,Monaco,2,1
2025-05-04,Lyon,Lille,2,1
2025-05-04,Paris SG,Angers,1,0
2025-06-04,Reims,Strasbourg,0,1
2025-06-04,Montpellier,Le Havre,0,2
2025-06-04,Marseille,Toulouse,3,2
2025-06-04,Lens,St Etienne,1,0
2025-06-04,Rennes,Auxerre,0,1
2025-07-02,Paris SG,Monaco,4,1
2025-07-02,Nantes,Brest,0,2
2025-07-03,Toulouse,Monaco,1,1
2025-08-02,St Etienne,Rennes,0,2
2025-08-02,Nice,Lens,2,0
2025-08-02,Lille,Le Havre,1,2
2025-08-03,Rennes,Paris SG,1,4
2025-08-03,Lille,Montpellier,1,0
2025-08-03,Marseille,Lens,0,1
2025-09-02,Lyon,Reims,4,0
2025-09-02,Auxerre,Toulouse,2,2
2025-09-02,Strasbourg,Montpellier,2,0
2025-09-02,Angers,Marseille,0,2
2025-09-03,Nice,Lyon,0,2
2025-09-03,Reims,Auxerre,0,2
2025-09-03,Brest,Angers,2,0
2025-09-03,Le Havre,St Etienne,1,1
2025-09-03,Nantes,Strasbourg,0,1
2025-10-01,Auxerre,Lille,0,0
2025-10-01,Nantes,Monaco,2,2
2025-10-05,Brest,Lille,2,0
2025-10-05,Le Havre,Marseille,1,3
2025-10-05,Auxerre,Nantes,1,1
2025-10-05,Monaco,Lyon,2,0
2025-10-05,Montpellier,Paris SG,1,4
2025-10-05,Reims,St Etienne,0,2
2025-10-05,Angers,Strasbourg,2,1
2025-10-05,Toulouse,Lens,1,1
2025-10-05,Rennes,Nice,2,0
2025-11-01,Brest,Lyon,2,1
2025-11-01,Reims,Nice,2,4
2025-11-01,Rennes,Marseille,1,2
2025-11-04,Lens,Reims,0,2
2025-12-01,Paris SG,St Etienne,2,1
2025-12-01,Le Havre,Lens,1,2
2025-12-01,Montpellier,Angers,1,3
2025-12-01,Toulouse,Strasbourg,1,2
2025-12-04,Strasbourg,Nice,2,2
2025-12-04,Toulouse,Lille,1,2
2025-12-04,Monaco,Marseille,3,0
